,_id,ico_phase_ended,ind_coinmarketcap,ind_cryptocompare,ind_cryptowatch,ind_ravneeticoprice,name
1192,5b40605c57c41002aa12de42,1,0,0,0,0,FundFantasy 
1281,5b40605c57c41002aa12de9b,1,1,1,0,0,FundRequest
2215,5b40605c57c41002aa12e241,1,0,0,0,0,Fupoof Coin
1178,5b40605c57c41002aa12de34,1,0,0,0,0,Further
1223,5b40605c57c41002aa12de61,1,0,0,0,0,Futourist
188,5b40605c57c41002aa12da56,1,0,0,0,0,Future1coin
540,5b40605c57c41002aa12dbb6,1,0,0,0,0,Futures Protocol
1700,5b40605c57c41002aa12e03e,1,0,0,0,0,FuturexCrypto
1469,5b40605c57c41002aa12df57,1,1,1,1,0,FuzeX
2446,5b40605c57c41002aa12e328,1,0,0,0,0,GAMECASH
2367,5b40605c57c41002aa12e2d9,1,0,0,0,0,GAT Token
1662,5b40605c57c41002aa12e018,1,1,1,0,0,GATCOIN
505,5b40605c57c41002aa12db93,0,0,0,0,0,GCR Systems
